# item_name, value, tier, drop_weight, tex_x, tex_y
plate_mail, 100, 2, 10, 0,0
plate_leggings, 100, 2, 10, 1, 0
red_robe, 65, 2, 10, 2, 0
blue_robe, 65, 2, 10, 3, 0
black_leather_outfit, 85, 2, 10, 4, 0
red_leather_outfit, 85, 2, 10, 5, 0
faire_t_shirt_white, 25, 2, 10, 6, 0
faire_t_shirt_blue, 25, 2, 10, 7, 0
wizard_hat_01, 45, 2, 10, 0, 1
wizard_hat_02, 45, 2, 10, 1, 1
sparkle_dress_01, 130, 2, 10, 2, 1
sparkle_dress_02, 130, 2, 10, 3, 1
peasant_dress_01, 50, 2, 10, 4, 1
peasant_dress_02, 50, 2, 10, 5, 1
hammer_pants, 80, 2, 10, 6, 1
